                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90672,                 2.3413,                0.26838,                0.72866,                 1.2016,                0.91976,                0.92857,                0.90235,                0.67946,                0.98374,                0.57143,                0.64532,                0.36267,                0.87442,                 3.5988,                0.31854,                0.54265,                 1.0248,                      0,                      0,                      0
                      2,                 1.2125,                  4.569,                0.38936,                 1.1842,                 1.2457,                0.91795,                0.92857,                0.90729,                0.68593,                      1,                0.62345,                0.65212,                0.35565,                 0.8686,                 3.6101,                0.31938,                0.53544,                 1.0258,             1.9802e-05,             1.9802e-05,             1.9802e-05
